docId,filename,0 fhir resource patient,1 image images dicom,2 type device list,3 message messages send,4 heart rate watch,5 niftynet image label,6 dicom file image,7 app healthkit health,8 segment field segments,9 oauth url information,10 google fit api,11 python pydicom frame,12 data read information,13 database document xml,14 server request service,15 class project create,16 code method function,17 dicom server study,18 error code project,19 find don set
2917,file2917.txt,0.002312884382289779,0.024358167572999478,0.0018426883024014445,0.001834257620406701,0.001236609267026022,0.48672324415922674,0.1808916357202053,0.0026265026829210636,0.023857266238018218,9.118065699421068E-4,0.002491589507793648,0.06736502337938403,0.003978486412560679,0.0020307836826913275,0.0016609434009152147,0.002723836161718408,0.0030426162218947935,0.0010292454646468646,0.07085025377808123,0.11823215947487689
2918,file2918.txt,0.0035783307925685475,0.0034896601388242133,0.002850876742511908,0.03703340375459213,0.17289104604303981,7.2115922148387E-4,0.006298155319764729,0.004063538799875392,0.002714701094296594,0.0014106825015005706,0.2774193736231353,0.001635678636705411,0.2455242247658944,0.003141884583796579,0.0025696939119474733,0.004214126259843254,0.10729403127291824,0.0015923756360061586,0.10961449119406962,0.011942565707225806
2919,file2919.txt,0.07017164865226881,0.002306552145776701,0.3635189401412272,0.0018757158095651571,0.0012645593108677902,4.7666285070406E-4,0.004162876351658971,0.0026858673238756917,0.0017943293573287383,0.06873890345126003,0.0025479048192145323,0.2949092455339281,0.07187489689061073,0.0020766837858830784,0.0921071350883929,0.0027854007497963504,0.003111385928756326,0.0010525086380904901,0.004645134659979156,0.007893648510815202
2920,file2920.txt,0.003349270371259901,0.003266275810219621,0.0026683829861786496,0.00265617457938118,0.0017907245215497175,6.749955086581094E-4,0.1019147971804131,0.2598562372351326,0.002540924377600073,0.0013203801938442932,0.13163446119916875,0.0015309736054021554,0.42184704625291813,0.0029407624829661545,0.002405199569689518,0.003944366533176219,0.0044059895259521056,0.0014904425685483636,0.006577909371302592,0.04318468612663872
2921,file2921.txt,0.0010335779908117546,0.0010079660389119003,8.234575354790852E-4,8.196900460948242E-4,5.526139271892997E-4,2.083022343112201E-4,0.0018191819310674011,0.564172534444955,7.841240693914398E-4,4.0746662902220465E-4,0.0011134374450846875,4.7245532538543343E-4,0.2585843729716915,9.07513291456183E-4,0.04025092789710495,0.06048025578905805,0.001359679362063013,4.599475302559824E-4,0.0020299293870310133,0.0627125661536351
2922,file2922.txt,0.0030558483979694745,0.0029801248019972223,0.002434612010858848,0.002423473154863841,0.0016338432117452128,6.158606846044354E-4,0.005378543505266859,0.14948309257535256,0.002318319761605246,0.0012047046827550977,0.0032919586746705046,0.0013968484836420765,0.7353209029569653,0.002683128958323057,0.0021944854959761724,0.032801386094197776,0.03322256734461126,0.001359868278908378,0.006001633665281538,0.01019879726040506
2923,file2923.txt,0.002600245234746069,0.0025358114363562274,0.0020716303478594566,0.0020621522084200835,0.001390249931405511,5.240406596983715E-4,0.004576644616512247,0.0029528285709430648,0.001972676365992912,0.001025092610186976,0.0028011533106422357,0.001188589268913354,0.004472787492092966,0.0768291957990439,0.051564705118487986,0.00306225510188513,0.028269341660161353,0.5229798256209164,0.2784425385152618,0.008678236130473914
2924,file2924.txt,0.002809697204786763,0.002740073209014914,0.0022385019381837533,0.002228260326533617,0.5653582023676486,5.662525815158025E-4,0.004945297241386007,0.0031906814292473585,0.0021315771287320393,0.0011076646937000093,0.1909787774705303,0.0012843311476471273,0.004833074337069622,0.002467000633700291,0.002017717818752518,0.0033089223605291566,0.16479788185057645,0.0012503297299256999,0.00551819695790554,0.03622755957261443
2925,file2925.txt,0.009306942555256568,0.009076317515657255,0.007414894712858502,0.007380970028327133,0.004976059979321162,0.0018756755137012263,0.016380981290737118,0.7220877398627998,0.007060713110085266,0.003669068559127613,0.010026043929337291,0.0042542649053835405,0.10494910151142678,0.008171782049152405,0.006683561417171447,0.010960594001653652,0.012243350602260561,0.004141637380612726,0.018278675014632442,0.03106162606049743
2926,file2926.txt,0.018336287288976027,0.03489253095135182,0.0013838786403626044,0.0013775471079373915,9.287067969561267E-4,3.50066640212834E-4,0.003057263925422799,0.0019725316305598778,0.0677149214055311,0.1500783537287258,0.06826835582925332,0.1335882854709605,0.05278574496203268,0.16751800387796548,0.001247386273838206,0.002045630115053587,0.002285037352662184,0.1169679788770831,0.0034114399335992513,0.17179004919151528
