docId,filename,0 fhir resource patient,1 data database information,2 error code problem,3 dicom image file,4 find type set,5 tag data values,6 app healthkit data,7 google fit api,8 server send application,9 hl7 message xml
1923,39169379.txt,0.005506798640488123,0.008687203490171118,0.6435463939775452,0.010479857076385456,0.18707487308995005,0.005199233800979354,0.12242210946076174,0.00613091791227436,0.005304283968794102,0.005648328582650307
1924,39193963.txt,0.8241894487617433,0.01126823968249148,0.09197948847925899,0.013593504688657825,0.019825409235989983,0.006743966881981321,0.010240761112658007,0.007952461639393109,0.00688022827737304,0.007326491240452955
1925,39200458.txt,0.016492843338880864,0.017328491804345852,0.0035859190733550494,0.7099126133939366,0.1093374999366178,0.0013660939260028892,0.09235004542428218,0.04674870417191494,0.0013936957615176297,0.0014840931691461228
1926,39204211.txt,0.16718714717223473,0.004160524429346486,0.006536230407697545,0.00501907218262968,0.03474501860475043,0.0024900463385407008,0.0037811528672502003,0.7708353210998381,0.0025403575566438235,0.002705129341068275
1927,39211673.txt,0.06277031683514361,0.008687203490171118,0.5862828757828897,0.010479857076385456,0.01528431850598357,0.062462751995634856,0.007895073071450757,0.06339443610692985,0.005304283968794102,0.1774388831666168
1928,39233297.txt,0.0031567974062573535,0.004979978974312228,0.33608932928778296,0.006007625808839982,0.008761805209537015,0.0029804844609321586,0.6282307671919232,0.0035145766219134714,0.0030407049481761044,0.0032379300903254476
1929,3923653.txt,0.024111098945960103,0.11331613647134714,0.005242301027988544,0.1799922680980268,0.027866803247122117,0.37592652760921397,0.003032625890853508,0.002354985220174061,0.24399179059218465,0.024165462897129106
1930,39238369.txt,0.533762866365958,0.16731768990619675,0.0020821674075208203,0.0015988647680410062,0.046014049955593765,7.932237705727335E-4,0.001204515871070036,9.353666347010829E-4,8.092508032862107E-4,0.24548200451705954
1931,39239637.txt,0.004940928717465913,0.0077945201924528515,0.012245278392302411,0.009402963530015953,0.11647214527503905,0.056044178343122975,0.0070837878433421516,0.7248098487179946,0.05613843372175881,0.005067915266505308
1932,39240172.txt,0.006219047748259954,0.009810806029296874,0.6621126786211595,0.011835321356003679,0.08193117089065158,0.005871702485165062,0.1382561800210835,0.0069238905807743065,0.00599033983732812,0.07104886243027732
1933,39242912.txt,0.0017987335112112247,0.0028375767949083415,0.02316234562545052,0.0034231268195286145,0.042401411315305046,0.0016982709339840162,0.0025788363501558897,0.9185221515993884,0.0017325843835111993,0.0018449626665566143
1934,39250187.txt,0.044808907147199574,0.16971280870484232,0.009742475053803639,0.7024045687622464,0.010910787825741822,0.00371149926224731,0.005635937717314906,0.004376586662446084,0.044664341027775396,0.0040320878363823845
1935,39276245.txt,0.4673538150136374,0.0077945201924528515,0.3718997455115469,0.009402963530015953,0.11647214527503905,0.004664968754659471,0.0070837878433421516,0.005500914479505541,0.004759224133295304,0.005067915266505308
1936,39292828.txt,0.3243247184906913,0.003490446731835995,0.0054835308510995835,0.00421072016141496,0.5353253303397837,0.0020890092708444378,0.0031721752611217867,0.0024633522645423,0.0021312175620790876,0.11730949906658687
1937,39307902.txt,0.05356786380432093,0.25175556613714756,0.011646871348250765,0.10668023647799328,0.01304355837840844,0.004436999240726339,0.006737614534069896,0.005232093643604326,0.0045266485107292405,0.5423725479247491
1938,39308048.txt,0.0018330191832321954,0.6890879153184113,0.004542836272412559,0.02254938204853423,0.13851465983649477,0.0017306416881187493,0.13605504046136016,0.002040766492058376,0.0017656091865470422,0.0018801295128305243
1939,39330429.txt,0.6121373398551023,0.00440197231772655,0.0069155477405733,0.005310344208717363,0.32692658703868543,0.002634551301945902,0.004000584669885519,0.03212317440892509,0.002687782233075379,0.0028621162253631665
1940,39336217.txt,0.0021628240120342202,0.0034119446764997625,0.25275621729094006,0.049097112225887835,0.006002996156291282,0.0020420263102159364,0.003100831305170961,0.047389043588356945,0.4968753134073059,0.13716169102729708
1941,39352711.txt,0.002962312287169441,0.00467317062419302,0.19216669094996605,0.005637505819970285,0.28545963619311787,0.0027968616937013345,0.40470141068743337,0.003298049311196114,0.033657553368166095,0.0646468090650864
1942,39358190.txt,0.09766359160946346,0.42639203502030487,0.011104225711957837,0.008526766485296123,0.059027375855501864,0.004230272626838155,0.3325644570787421,0.0515798592682004,0.004315744999568878,0.004595671344126197
1943,39367468.txt,0.0021152508636367146,0.0033368960597301815,0.0932256933572821,0.4659382931682308,0.0718584994117689,0.0019971102097163193,0.003032625890853508,0.002354985220174061,0.3539710310038016,0.0021696148148057145
1944,39388514.txt,0.11304763353724666,0.12616593839186832,0.015390048332085831,0.06441473695764514,0.3761587909300368,0.18754920087799423,0.0017134886384662954,0.0013306093675104168,0.038435362287966485,0.07579419067917986
1945,39406871.txt,0.004281056777215856,0.00675354480972156,0.01060989442429105,0.008147176987959864,0.011882227696520005,0.004041951876787609,0.4958291620112898,0.004766255204234182,0.18219323003278803,0.271495500179192
1946,39414721.txt,0.0014046381130799243,0.03142868092840813,0.047300373294718825,0.03188593925854436,0.19378186272300893,0.0013261864891834251,0.0020138235053983595,0.001563834367290688,0.687853922677037,0.0014407386433301784
1947,39441280.txt,7.315048611208742E-4,0.13046780737775115,0.09309326360809458,0.0013921094442902004,0.14655753778854658,0.6244397020998019,0.0010487553127889232,8.144107945018673E-4,7.046034840297839E-4,7.503052290741531E-4
1948,39449139.txt,0.7377253282838067,0.056282004857294496,0.011646871348250765,0.008943455838066754,0.0619119486983717,0.05330538956068961,0.055606004854033164,0.005232093643604326,0.0045266485107292405,0.0048202544051532265
1949,39485866.txt,0.002566948545587844,0.16420695432478186,0.13982633138382292,0.004885098518476352,0.007124658394220527,0.24265980937161577,0.0036802228774200957,0.0028578765713932358,0.002472548009831358,0.42971955200285006
1950,39492098.txt,0.0012743431281141595,0.041764844838931794,0.016409754860753127,0.0024251719957072136,0.4143336470437465,0.0012031687189400498,0.518635723545973,0.0014187722523746219,0.0012274786616493579,0.0013070949538102569
1951,39520704.txt,0.005208539352508191,0.06237869797819342,0.012908507294036945,0.06407425784133464,0.014456489080491977,0.004917632843188778,0.007467460037713299,0.005798855069494208,0.005016993282669493,0.817772567220369
1952,39541277.txt,0.03622809135783129,0.04857891288027003,0.049592515701587694,0.2829642719094131,0.21374027549347915,0.3637919245354388,0.00161324138971873,0.001252762380226012,0.001083851962336274,0.0011541523896989607
1953,39542774.txt,0.003776673669416746,0.0059578595158668,0.7948093982333128,0.007187297532296809,0.0890272475953316,0.0035657394938921816,0.04468707719975369,0.00420470726465307,0.042910261734761874,0.0038737377607143742
1954,39543722.txt,0.004699473484357673,0.056282004857294496,0.011646871348250765,0.10668023647799328,0.01304355837840844,0.004436999240726339,0.7886318596534821,0.005232093643604326,0.0045266485107292405,0.0048202544051532265
1955,3954444.txt,0.36516966985918153,0.5058791581472422,0.059307948881702655,0.002560915960533083,0.04571465286394838,0.0012705135887276283,0.01592251450787683,0.0014981850820886228,0.0012961842299828098,0.0013802568787162676
1956,39548551.txt,0.005506798640488123,0.008687203490171118,0.07091121203099038,0.8694326299962178,0.01528431850598357,0.005199233800979354,0.007895073071450757,0.00613091791227436,0.005304283968794102,0.005648328582650307
1957,39567865.txt,9.86690247100739E-4,0.0015565448308405116,0.12556883782308462,0.0018777466625078238,0.09508121078004492,9.315817807654771E-4,0.09375722984671613,0.4525513090218924,0.22667679988581285,0.00101204912123451
1958,39577355.txt,0.003633959095456407,0.005732721350129067,0.009006169352899626,0.8382611921181993,0.01008618471071395,0.003430995791558226,0.1185752854917022,0.004045817972532796,0.0035003188298118612,0.003727355286996488
1959,39584984.txt,0.0071429116440572885,0.15982215552207074,0.09197948847925899,0.38497829428760605,0.019825409235989983,0.30385179856113986,0.010240761112658007,0.007952461639393109,0.00688022827737304,0.007326491240452955
1960,39627403.txt,0.0019441940736872056,0.104152450552343,0.004818364935484132,0.22608783744241906,0.6523427644236824,0.001835607256320936,0.0027873825209416806,0.0021645415148591634,0.0018726955769658282,0.0019941617032965243
1961,39637131.txt,0.002376630927816758,0.0037492339631195006,0.3518841227089551,0.6223693992864865,0.0065964249727320165,0.002243891716233611,0.0034073653430915897,0.0026459890904827824,0.0022892293968172508,0.0024377125942647883
1962,39637855.txt,0.354710375888363,0.005329903931709671,0.2894387481582181,0.00642975976082287,0.22017652240769645,0.003189912232293274,0.004843904146169788,0.10916106165421578,0.0032543641935137146,0.0034654476269972787
1963,39653438.txt,0.0017031631634157828,0.0026868106033099796,0.30530246531820715,0.0032412491713660696,0.11099123409812711,0.0016080383660132052,0.46291933821584275,0.10816023632083926,0.0016405286725984603,0.0017469360702801657
1964,39658205.txt,0.005841291545164965,0.009214879934989983,0.1359602950552955,0.011116422540810644,0.016212715643202893,0.005515044661285197,0.008374634082614112,0.7354050146871169,0.0663682835776462,0.005991418271873528
1965,39662803.txt,0.0027117157377328977,0.00427784416302846,0.0067205410213563,0.005160601507068525,0.007526464964319808,0.002560261422781717,0.003887774966201871,0.0030190511175090346,0.3127933380388351,0.6513424070611663
1966,39666810.txt,0.004480517792059757,0.007068202841988274,0.24406191025546708,0.008526766485296123,0.2919850603990111,0.004230272626838155,0.379155993987444,0.0049883223594985515,0.05090728190827073,0.004595671344126197
1967,39687295.txt,0.004281056777215856,0.00675354480972156,0.18867950521559715,0.6313908147575311,0.14543443578999957,0.004041951876787609,0.006137732335198059,0.004766255204234182,0.00412361924148194,0.004391083992232869
1968,39688057.txt,0.004940928717465913,0.16193214895784333,0.42327895510001035,0.009402963530015953,0.013713726098112047,0.004664968754659471,0.36673825496258666,0.005500914479505541,0.004759224133295304,0.005067915266505308
1969,39692075.txt,0.0032639414163267355,0.00514900309867047,0.04202987197101516,0.040152259536643545,0.009059187279015335,0.0030816442808372178,0.0046794985008839695,0.886092857418236,0.0031439086954104436,0.0033478278029610816
1970,39695427.txt,0.003633959095456407,0.005732721350129067,0.1979483264633114,0.006915700832387509,0.01008618471071395,0.003430995791558226,0.7609786196671022,0.004045817972532796,0.0035003188298118612,0.003727355286996488
1971,39716868.txt,0.002376630927816758,0.0037492339631195006,0.08003166724774051,0.004522909601907878,0.03131028456011516,0.002243891716233611,0.6212538550276703,0.24978458496431427,0.0022892293968172508,0.0024377125942647883
1972,39722054.txt,0.0017657068808540964,0.0027854759142991307,0.004376013812713241,0.003360274627455974,0.04162287701358508,0.07511127649544176,0.020892533113418016,0.05704896596881166,0.0017007723203900614,0.791336103853031
1973,39737598.txt,0.003776673669416746,0.0059578595158668,0.009359863929104617,0.007187297532296809,0.0890272475953316,0.0035657394938921816,0.20177698406059533,0.67183681142323,0.0036377850195514604,0.0038737377607143742
1974,39739635.txt,0.003776673669416746,0.0059578595158668,0.009359863929104617,0.007187297532296809,0.010482294164910774,0.0035657394938921816,0.9479540416495931,0.00420470726465307,0.0036377850195514604,0.0038737377607143742
1975,39742391.txt,0.002566948545587844,0.13751403992179861,0.4067554754136553,0.004885098518476352,0.08720340160317025,0.002423579744766572,0.0036802228774200957,0.0028578765713932358,0.16263003442773083,0.18948332237600085
1976,39757716.txt,0.0016172361379778546,0.1370884168469523,0.004008053519498573,0.0030777234998502134,0.20629443684858145,0.0015269105230974003,0.3554786685580977,0.28769199177996707,0.0015577616470955694,0.0016588006388818335
1977,39758408.txt,0.8844899164072548,0.06783240894449911,0.005129473899356065,0.003938845198826465,0.027267041543673085,0.001954127517703427,0.0029673563709127957,0.00230430018340384,0.0019936105322252,0.002122919402145114
1978,39768782.txt,0.0027904002941970254,0.00440197231772655,0.3551137989182334,0.03432686514018904,0.007744856792496983,0.002634551301945902,0.004000584669885519,0.0031066534774534184,0.002687782233075379,0.5831925348547967
1979,39771596.txt,0.0019056670490993233,0.06245561879246729,0.004722882047816071,0.0036266294835810248,0.12418794752199258,0.0017992320369664974,0.7953901451854118,0.0021216479862278814,0.0018355853987609598,0.001954644497676506
1980,39773750.txt,0.16769457204690189,0.008216687080062186,0.3378805726828243,0.28072230143385957,0.014456489080491977,0.004917632843188778,0.007467460037713299,0.005798855069494208,0.005016993282669493,0.16782843644279427
1981,39775403.txt,5.213286670877662E-4,0.03334924370487374,0.18561070843765126,9.921281451500544E-4,0.45682253177099097,0.016755624545351233,7.474266247249423E-4,5.804140430577262E-4,5.02156601655099E-4,0.30411843745945716
1982,39776867.txt,0.0019441940736872056,0.023284127607699972,0.08568668788012716,0.0036999493446507234,0.1671328267558243,0.022052687992481695,0.0027873825209416806,0.0021645415148591634,0.0018726955769658282,0.6893749067327622
1983,39783825.txt,0.004699473484357673,0.0074136145373312305,0.011646871348250765,0.008943455838066754,0.01304355837840844,0.004436999240726339,0.006737614534069896,0.9337315097229063,0.0045266485107292405,0.0048202544051532265
1984,39789292.txt,0.2681529790500329,0.08130958419429377,0.009006169352899626,0.12028099509863457,0.01008618471071395,0.003430995791558226,0.4964595997125258,0.004045817972532796,0.0035003188298118612,0.003727355286996488
1985,39789299.txt,0.004281056777215856,0.00675354480972156,0.01060989442429105,0.18621678777926595,0.011882227696520005,0.004041951876787609,0.18420734312650416,0.004766255204234182,0.00412361924148194,0.5831173190639776
1986,39796678.txt,0.001564611539829632,0.002468239664627574,0.003877632116669971,0.0029775748829676636,0.05315238932047728,0.0014772251056129973,0.9296284929281408,0.0017419385638626468,0.001507072339106435,0.0016048235387050337
1987,39800012.txt,0.15959665113266205,0.025902491408018025,0.6126049649952322,0.004116018762851311,0.006002996156291282,0.0245325730417342,0.003100831305170961,0.00240795012532042,0.0020832853139041156,0.15965223775881532
1988,39801046.txt,0.0025002106370632855,0.0039441860853176,0.006196360449809892,0.29074629109023553,0.18893191575973692,0.366345550953029,0.08158132281946763,0.028782502109270046,0.002408264413969519,0.02856339568210053
1989,39815910.txt,0.003931055973606392,0.006201404010469579,0.009742475053803639,0.007481098811162371,0.010910787825741822,0.00371149926224731,0.005635937717314906,0.9445671636550893,0.0037864898541822116,0.0040320878363823845
1990,39817735.txt,0.003501637699388102,0.005523978854026648,0.59127761837292,0.006663883141297807,0.009718921897108492,0.003306064789002061,0.25990751391439365,0.003898499780912771,0.1126102484452615,0.003591633105688883
1991,39824718.txt,0.0027117157377328977,0.00427784416302846,0.1759103664978555,0.005160601507068525,0.007526464964319808,0.002560261422781717,0.03208607921228507,0.0030190511175090346,0.7639662059761663,0.0027814094012527245
1992,39840365.txt,0.002962312287169441,0.00467317062419302,0.007341603312976381,0.005637505819970285,0.03902618601046499,0.09520940551219617,0.8359599485070759,0.003298049311196114,0.002853372095334479,0.0030384465194231653
1993,39846345.txt,0.004480517792059757,0.10025127665939196,0.011104225711957837,0.7539913570245256,0.012435838946800016,0.09741334644424185,0.006423698717829173,0.0049883223594985515,0.004315744999568878,0.004595671344126197
1994,39852751.txt,0.002376630927816758,0.0037492339631195006,0.15417324600988994,0.05395062877667417,0.30316274002132976,0.002243891716233611,0.4729706975033714,0.0026459890904827824,0.0022892293968172508,0.0024377125942647883
1995,3986705.txt,0.0018686372917013515,0.2361245187853281,0.14065083165043926,0.5476350460762044,0.005186470289385839,0.0017642704596736451,0.002679057093816727,0.002080421419262238,0.001799917425160061,0.06021082950902833
